,company,job,title,question,answer
108,(주)테크아이,IT/웹/통신,"면접분위기는 딱딱하지않습니다
업무적인 질문보다는 회사에 대한 얘기를 많이 해줍니다
합격만 연락을 주는듯 합니다""","기억에 남는 질문은 딱히 없는 것 같습니다
질문보다는 사무실 분위기가 너무 조용하고 담배냄새가 났습니다","면접을 기다리면서 느낀점은 직원분들이 다 젊은편입니다
그리고 다들 바빠보였습니다"
109,(주)인터패스,IT/웹/통신,"사는곳 과거 이력 등 그냥 이력서에 있는거 물어보는 형식""","전 직장에서 왜 그만두게 됐는지, 전 회사가 무엇을 하던 회사였는지",이력서라도 한번 읽고 들어왔으면..
110,올넷전자(주),IT/웹/통신,"그냥 식당쪽가서 왜 지원했고 이러한 일하는데 할수있냐고 물어봄""",너무 오래되서 기억이 잘안나는데 위에 과정이랑 비슷한가물어봄,느낀전 딱히없고 어차피 다니다 나갈거라서 대충 대답햇는데 붙음
111,에이팀벤처스(주),IT/웹/통신,"원티드에서 지원하고 메일로 연락이 와서 1차는 화상, 2차는 대면 면접이었습니다. 1차도 팀장, 대표 2차도 동일하게 팀장, 대표와 면접을 봤습니다. 당시 코로나가 심했을 시기였는데 마스크 벗고 면접 봤으면...""",1차 화상에서는 그동안의 해온 일들에 대해서 질문을 받았었고 2차 대면에서는 1차에서 말하지 못한 또다른 포트폴리오에 대한 질문을 받았습니다.,1차에서는 실무진하고만 봐도 좋을 것 같다는 생각을 했습니다.. 요즘은 그렇게 하시는지 모르겠지만요. 대면 면접에서 작은 회의실이었는데 마스크를 벗고 보자는게 좀 당황스러웠던..
112,(주)씨아이피시스템,IT/웹/통신,"채용사이트를 통한 지원 후 대면면접을 진행하였습니다.""","교육에서 어떠한 것을 배웠나?
무엇을 사용해 보았나?
잘 할 수 있을 것 같은가?",편안한 분위기에서 진행되어 부담없이 볼 수 있었습니다.
113,이슬림코리아(주),IT/웹/통신,"잡사이트에서 공고를 보고 고민끝에 지원하게 되었습니다.""",전공에서 배운점과 아르바이트는 어떤곳에서 해봣는지 취미 꿈 등,무난했습니다
114,(주)포엠아이,IT/웹/통신,"온라인으로 보고 연락해서 면접 진행 , 진행 후 입사""","희망 연봉, 어떤일하는지, 뭘 좋아하는지","그냥 있는그대로 말하고 솔직하게 말함
잘 들어주고 편함 하지만 잘 안물어봄"
115,(주)인성아이티,IT/웹/통신,"면접은 실무진, 대표이사 두번의 과정있음""",자기소개서 기반으로 다양한 질문 있음,좋았습니다.
116,(주)사우정보기술,IT/웹/통신,"본사 면접합격후 투입될 사업장이 있으면 사업장 면접 없으면 본사에서 교육 대기""","면접 전 문제풀이 ,운영에 대해 알고 있는지 , 어떤 분야로 가고싶은지",답변을 잘 못해도 오히려 설명을 더 자세히 해주셨습니다.
117,엣지아이앤디(주),IT/웹/통신,"서류 접수 후 1차면접 진행-해당 직종 부서장과 팀장이 면접을 보았고, 추후 2차 면접때는 인사담당자와 면접을 봄""","지원한 직종과 관련된 프로그램을 어떤걸 사용하는지, 비전이 어떻게 되는지, 발전방향에 대한 포부","사용할 수 있는 프로그램과 자격증에 대하여 말했으며, 전자칠판 시장에 대한 비전과 개인적인 소견을 내놓았음"
118,(주)엠알티인터내셔널,IT/웹/통신,"처음 메일로 연락이 왔고 일주일 내 면접날짜 잡고 면접을 봤다""","했던 프로젝트 설명, 성격의 장단점, 하고싶은 일",전체적으로 편안했고 분위기가 좋았다
119,(주)에스앤티,IT/웹/통신,"면접보기전 서약서 같은거 작성하고 대표가 직접 뭐 할수 있는지 물어봄 그 후에 합격함""",학교에서 뭐했는지와 뭘 할줄아는지 그리고 집은 어딘지 정도,허접함을 느낌
120,지아이시스템(주),IT/웹/통신,"개발자 채용한다고 해서 갔더니 모 기업 하청으로 들어가서 qc 시키더군요,
그러면서 하는 말이 하다가 나중에 개발자로 부서 옮겨줄 수 있다고 하네요.. 어이가 없습니다""","1. 이런 직종 해봣냐
2. 취미가 있냐
3. 집이랑 가깝냐","전문적인 지식 없이 일상대화하듯이 면접봐서 합격했습니다.
말만 할 수 있다면 합격할 수 있을 거 같습니다."
121,(주)엠아이티소프트,IT/웹/통신,"실무적인 질문 보다는 개인적인 질문이 많다""",대표 본인의 이야기를 많이 늘어 놓는다 대표적인 중소기업 면접이다.,대표 본인의 자랑만 하다 시간이 다 지난다. 면접에 있어서 어려움은 없다
122,(주)브로나인,IT/웹/통신,"채용부터 개별연락 및 1,2차 면접으로 진행하였고 면접결과는 이메일로 통보받았음.""","전반적으로 이전 직장의 경험, 스타트업 생태계, 직무관련 질문으로 진행되었음.",긍정적인분위기
123,(주)이제이정보시스템,IT/웹/통신,"채용사이트 이력서보고 먼저 연락이 와서 면접을 잡음""",이전 경력과 관해서 질문이 많았음. 전자칠판 알고있는지. 언제부터 나올 수 있는지,면접 시간이 저녁6시 이후임. 내가 면접을 보는데 면접관이 말을 더 많이함.
124,뉴엔텍(주),IT/웹/통신,"이력서 제출 후 면접 연락이 오며 일대일 혹은 이대일 면접을봄""",회사에 대한 장점 회사의 복지 등을 설명하면서 회사 어필을함,부드러운 면접진행
125,HP Inc.,IT/웹/통신,"총 2번의 인터뷰
첫번째는 담당 팀 엔지니어 분들과 면접
두번째는 시니어 엔지니어 및 경영진과 면접""","1. 연구개발 경험/경력
2. 소프트웨어 활용
3. 수상실적 (대내외)",편안한 면접분위기 형성
126,에버린트(주),IT/웹/통신,"지원하고 나서 전화가와서 면접을 봤는데 처음에 기다리는 동안 인사팀(?) 인사과 팀장같은분이 기다리라면서 안내해줬어요. 딱딱하지 않게 대해주셔서 편안하게 기다렸던거같아요.""","1. 이전 직장에서 무슨 업무를 어떻게 봤는지?

2.
전공관련 내용보다 어떻게 하면 오래다닐 수 있을거 같냐 라는 뉘앙스의 질문이 많았어요.
퇴사율이 높은지 아닌지 모르겠지만 업무강도는 간간히 잔업이 있다는걸 어필하는것을 보니 근무시간이 조금 길었던거 같아요.","1. 아직 체계적인 느낌은 들지않았다.
2. 열정이 엄청 강한거 같다(뭔가 의욕이 엄청 강하다는 느낌이 들었다)
3. 내가 여기서 일하게 되면.. 이라는 전제가 많았다"
