,company,job,title,question,answer
52,(주)피플앤드테크놀러지,IT/웹/통신,"서류 심사 없이 바로 연락이 왔습니다.
대면으로 사무실에서 1차, 2차 면접을 진행하였습니다.
1차 면접은 2대 1로 진행하였습니다. 면접 전 간단한 프로그래밍 지식과 Spring에 관한 시험을 30분간...""","최근 읽었던 개발 서적과 기억나는 내용, 그 개념에 대한 설명
상사가 힘든 일을 계속 떠넘길 때 어떻게 대처할 것인지
포트폴리오에 있던 기술 개념, 사용 방법에 대한 설명",면접은 편안한 분위기에서 진행되었습니다. 최대한 좋은 분위기로 면접을 이끌어 주시는 느낌을 받아 순조롭게 할 수 있었습니다. 다만 면접이 언제 끝날 지 알 수 없었고 면접이 생각보다 길어진다는 느낌을 받았습니다.
53,(주)미소정보기술,IT/웹/통신,"이력서 제출 후 이틀 이내 연락 옴
편안한 분위기에서 면접 (정장X)
이전 직장에서 담당한 것 위주 질문""","-데이터 수집 경험
-출장 가능한지
-개발 어려움 극복 사례",편안한 분위기 덕분에 직장 상사에게 말하듯이 면접 진행
54,에스지에이솔루션즈(주),IT/웹/통신,"분위기가 좋고 면접관분들이 편하게 해주셨습니다 이야기하다가 온 느낌
인성을 중요시 하는 느낌이 들었습니다.""","야근에 대해 어떻게 생각하는지, 술 잘 먹는지, 상사랑 트러블이 생겼을때 어떻게 대처 할 것 인지",후기를 보니 술 잘 먹냐고 묻는 질문이 많은 것 같은데 회식이 많은 회사인가 싶었음
55,대원씨앤씨(주),IT/웹/통신,"계속 해오던 회사 업무라 프로젝트 개월수와 단가 위주로만 대화""",어디지역에서 하는 프로젝트로 몇개월 하는 것이고 사용 언어는 어떤 것이고 단가는 이정도입니다.,일반적인 정직원의 면접은 아니였고 매우 심플하고 빨리 끝났습니다.
56,이베이재팬(유),IT/웹/통신,"채용공고 지원- 서류합격 - 면접 1회 - 최종합격""","인생에서 가장 힘들었던 경험과 극복 방법
왜 이 회사에 관심을 가졌는가
평소에 사용해본 적 있는가",전반적으로 난이도가 매우 쉽습니다. 채용이 잦지 않아서 그런지 면접관들도 면접 경험이 별로 없고 이 사람을 파헤치겠다는 느낌보다는 우리 회사와 맞을까 인성 중점으로 봅니다
57,(주)테크플로어,IT/웹/통신,"면접 당일에 대표가 없어서 관리부장과 면접.""","어떤 경험이 있는가?
어느 학교 졸업 했는가?",무난한 면접이었다.
58,(주)에이모,IT/웹/통신,"채용 당시 인력이 많이 필요했던 시기여서 그런지 몰라도 스피디하게 채용이 진행 됨""","회사가 제공하는 서비스에 대한 내용을 알고있는지, 데이터 라벨링에 대해 알고있는지, 단순 반복 업무내용은 괜찮은지",계약직 면접이였기 때문에 어려운 질문은 없었음.
59,(주)유닛블랙,IT/웹/통신,"제안 연락이 왔고 이메일로만 면접 일정 확정 휴 면접까지 진행함""","자신이 생각하는 자신의 장점은 무엇인가
경력 위주로 각 회사마다 했던 경력을 상세히 설명
서비스 차이점","스스로 생각하는 장점 솔직하게 설명했고 경력 위주로 업무와 성과 설명함
실무 경험도 별로 없어 보이는 젊은 담당자 분 한 명과 면접봤는데 기록해야 한다고 노트북만 열심히 두드리고 기계적으로 질문하고 받아적는 정도였음. 미리 양해해달라고는 하지만 도저히 양해가 불가능한 정도여서 솔직히 불편했음.
그런 모습에 솔직히 중간부터는 별로였는데 나도..."
60,전능아이티(주),IT/웹/통신,"문자로 면접일정 잡은 후 오피스에서 대면 면접""","1. 어떤 식으로 업무를 진행했는가
2. 언제부터 근무가 가능한가
3. 전 회사에 대한 정보",면접자에 대한 관심보다는 주로 이전 직장에서 일했던 프로세스를 알고 싶어 부른 느낌이였습니다 또한 가장 기본적인 면접 후 합/불 여부도 지키지 않는 모습을보고 실망스러웠습니다
61,(주)헥토데이터,IT/웹/통신,"전체적으로 사람의 태도를 평가하는 자리 같았으며 편하게 진행되었습니다.""",진행했던 프로젝트에 대해 기여도나 구현했던 기술에 대한 질문,편하게 대해주는 느낌을 받았으며 면접비도 챙겨주셔서 좋았습니다.
62,(주)이안,IT/웹/통신,"면접전화왓을때 궁금한것들 물어봐도 잘 대답해주시고 면접보러갔을때 한분만 계셨는데 분위기가 좋았습니다""","어디서왔는지, 출퇴근 어떻게할건지, 언제부터출근가능한지",첫면접이라 떨렸는데 방구한다니까 어디로 구하는게좋은지 말해주고 면접이 원래 이런가 싶었습ㄴ디ㅏ
63,오픈플랜(주),IT/웹/통신,"굉장히 딱딱한 분위기에서 진행됐고 1:3 면접으로 부담스러웠음.""","1. 진행했던 프로젝트 중에서 본인이 기여한 부분에 대해서 설명
2. 기초적인 자바스크립트 질문
3. 희망 연봉","진행했던 프로젝트 과정에 대해 자세히 설명했고 아는 선에서 대답함.

전체적으로 분위기가 매우 딱딱하고 면접관 연령층이 높은 편이라 직설적이고 부정적인 질문이 많이 나왔음. 미리 이력서를 살펴보지 않았는지 중간중간 정적이 많이 흘렀고 질문에 대답을 했음에도 별 반응이 없어 기분이 좋지 않았음. 그리고 같은 직군의 면접관은 별 질문도 안하고 눈치만 보고..."
