,company,job,title,question,answer
154,(주)케이안컴퍼니,IT/웹/통신,"서류 넣고 면접 보자마자 오후에 전화와서 붙었다고 연락 받았습니다.""","1. 첫 직장인데 어떤지
2. 연봉
3. 왜 입사하고싶은지",2:1로 봤었는데 분위기 좋았습니다.
155,엔에이치엔소프트(주),IT/웹/통신,"비대면으로 면접 진행. 다대일 면접 여러방면으로 질문""","경력관련 내용
자사 서비스 관련 내용 등",그렇게 어렵진 않음
156,(주)엔터프라이즈블록체인,IT/웹/통신,"편한 분위기에서 이전 경력에 대한 질문들이 대부분으로 진행되었다. 중간 스몰톡으로 아이스브레이킹 되었음""","이전에 이용해 본 툴에 관련된 질문
갈등을 해소하는 방식
경험해 본 업무
본인의 장점과 단점 등",최대한 편한 분위기에서 인성 위주로 평가하려는 느낌
157,(주)오토핸즈,IT/웹/통신,"긴장했는데 편안한 분위기에 업무관련 대화 하다가 와서 좋았음 긴장하지 않게 도와줌""",오토핸즈가 어떤 회사인지 아는지 질문에 대답을 못했는데 모르는게 당연하다는 분위기로 넘어감,면접보고 내가 지원한 공고가계속 올라오는 것 보니 사람이 급하지 않은듯 함
158,(주)띵킹프렌즈,IT/웹/통신,"이력서 제출 후 문자로 면접 일자를 받음. 면접은 대면만 가능.""",크게 기억에 남았던 질문이 없다. 이력서 기반 몇 가지와 이전에 무엇을 해왔는지를 물어본 것 같다.,"면접 시 코딩테스트 문제를 풀지만 크게 영향이 있는지는 모르겠다.
기술적인 질문은 거의 없었다. 인성 위주 질문으로 구성."
159,(주)티엔코아,IT/웹/통신,"1) 일단 이력서를 잘 확인도 안하고 지원자에 면접제안 연락을
함(면접에서 하시는 질문이 의아할 정도로 어처구니 없음)""","1) 영주권에 대하여 캐묻듯이 검색해가면서 질문을 함 마치 제가 거짓말이라고 하는것 마냥 너무 재수 없었음
2) 어떤부서에 지원한것인지 물어보는데 제가 느끼기로는 본인들은 지원자의 이력서도 사전 확인 없이 지원자에 면접 제안을 함. 면접에서 여러 질문이 이력서를 보면 알수있는 내용이고 본인 회사와 맞지않다고 생각이 들면 면접요청을 한것이 실례임","1) 영주권 질문에서 어떻게 취득해야하는지 성실히 말씀드렸음 그래도 믿지 않는 분위기;;;;
2) 운전해서 갔는데 면접끝나고 그부분에 대해선 물어보지도 않아서 주차비 3000원지불 함. 무지 아까웠음 이런회사에 굳이 왜"
160,(주)라인페이롤서비스,IT/웹/통신,"서류제출>1차면접 형태로 진행되었습니다.""","경험 및 경력질문, 업무스킬 질문 위주의 질문이였습니다.",편안한 분위기에서 면접 봤던게 기억에 남습니다.
161,(주)루센트블록,IT/웹/통신,"서류+포트폴리오, 1차 실무진 면접, 2차 임원면접으로 진행""","좋아하는 브랜드, 콘텐츠가 있는가?
회사 서비스의 USP가 무엇이라고 생각하는지, 고객에게 어떻게 콘텐츠로 전달할 것인지?
스타트업 특성상 긴박한 일이 생길 수 있다. 이때 받는 스트레스를 어떻게 관리하는 편인지
금융, IT 도메인 지식이 필요하다. 공부할 의지가 있는지?
콘텐츠 기획 업무를 맡았을 때, 제작 담당자와 협업해본 경험이 있는지?...","어려운 질문이 있을 때 답변이 막혔던 적이 있는데, 압박하지 않으시고 생각할 시간과 배경상황을 던져주셔서 제 생각을 잘 말할 수 있었습니다."
162,(주)코드브릭,IT/웹/통신,"헤드헌터 통해서 진행했습니다
1차, 2차까지 진행함""","- 과제 있었음, 과제 관련된 질문
- 개발자와의 커뮤니케이션 정도
- 개인적인 목표에 대해 물어봄","- 예상했던 질문들을 주로 얘기함
- 영어를 사용해야했기에 영어 관련 질문도 꽤 있었던 것 같음"
163,(주)히릿소프트,IT/웹/통신,"서류 합격하면 이메일로 안내 메일이 온다.""",1. 경력 사항 2. 성과 설명하기 3. 힘들었던 경험이나 동료,대표님이 굉장히 친절하셨다.
